file,nodes,edges,nonEdges,components,mincut,merges,k_decr,time,recursionDepth,functionCalls,fullySolved,numberOfSetMerges,clusterGraphBefore,clusterGraphAfter
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_1504.csv/1,2,1,0,1,1000.0,0,0.0,7.869e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_1504.csv/2,2,1,0,1,738.0,0,0.0,9.063e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_1504.csv/3,5,8,2,1,232.0,4,17.0,0.000466566,1,1,true,1,false,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3663.csv/1,1,0,0,1,0.0,0,0.0,1.3815e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3663.csv/2,3,3,0,1,684.0,0,0.0,1.1018e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3663.csv/3,1,0,0,1,0.0,0,0.0,5.327e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3664.csv/1,9,11,25,1,23.0,6,98.0,0.006764471,3,5,true,1,false,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3665.csv/1,6,6,9,1,20.0,3,44.0,0.000809193,3,5,true,1,false,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3665.csv/2,1,0,0,1,0.0,0,0.0,9.065e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3666.csv/1,4,3,3,1,65.0,1,134.0,0.00078579,3,5,true,1,false,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3666.csv/2,1,0,0,1,0.0,0,0.0,8.576e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3667.csv/1,2,1,0,1,845.0,0,0.0,5.821e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3667.csv/2,1,0,0,1,0.0,0,0.0,5.36e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3668.csv/1,2,1,0,1,354.0,0,0.0,5.172e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3668.csv/2,1,0,0,1,0.0,0,0.0,1.321e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3355.csv/1,1,0,0,1,0.0,0,0.0,1.7867e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3355.csv/2,2,1,0,1,473.0,0,0.0,1.92e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3356.csv/1,2,1,0,1,125.0,0,0.0,2.3615e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3356.csv/2,1,0,0,1,0.0,0,0.0,1.349e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3047.csv/1,6,7,8,1,16.0,4,39.0,0.000531704,2,3,true,1,false,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3047.csv/2,2,1,0,1,1000.0,0,0.0,1.5195e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_2122.csv/1,2,1,0,1,401.0,0,0.0,3.3813e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_2122.csv/2,1,0,0,1,0.0,0,0.0,6.697e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3669.csv/1,2,1,0,1,398.0,0,0.0,6.536e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3669.csv/2,1,0,0,1,0.0,0,0.0,4.249e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_2431.csv/1,1,0,0,1,0.0,0,0.0,1.6241e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_2431.csv/2,2,1,0,1,1000.0,0,0.0,2.0806e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_2431.csv/3,3,3,0,1,266.0,0,0.0,1.4855e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_2123.csv/1,2,1,0,1,183.0,0,0.0,5.771e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_2123.csv/2,1,0,0,1,0.0,0,0.0,1.1222e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3048.csv/1,2,1,0,1,46.0,0,0.0,2.6964e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3048.csv/2,1,0,0,1,0.0,0,0.0,2.0352e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_2124.csv/1,4,3,3,1,7.0,2,77.0,0.000634049,2,3,true,1,false,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_2124.csv/2,2,1,0,1,416.0,0,0.0,8.1088e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3049.csv/1,1,0,0,1,0.0,0,0.0,1.8571e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_3049.csv/2,3,2,1,1,211.0,1,211.0,0.000908341,2,3,true,1,false,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_710.csv/1,30,138,297,1,81.0,16,553.0,0.062933002,9,40,true,1,false,false
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_710.csv/2,1,0,0,1,0.0,0,0.0,1.1239e-5,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_2432.csv/1,2,1,0,1,122.0,0,0.0,5.414e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_2432.csv/2,4,3,3,1,294.0,2,294.0,0.001532593,2,3,true,1,false,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_1505.csv/1,20,85,105,1,3.0,2,2.0,0.073104383,13,58,true,1,false,false
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_1505.csv/2,4,6,0,1,681.0,0,0.0,8.466e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_1505.csv/3,1,0,0,1,0.0,0,0.0,4.87e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_1505.csv/4,1,0,0,1,0.0,0,0.0,4.226e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_1506.csv/1,1,0,0,1,0.0,0,0.0,4.606e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_1506.csv/2,1,0,0,1,0.0,0,0.0,4.315e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_1506.csv/3,1,0,0,1,0.0,0,0.0,4.716e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_1506.csv/4,1,0,0,1,0.0,0,0.0,3.872e-6,0,0,true,0,true,true
/home/lm/Schreibtisch/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_1506.csv/5,1,0,0,1,0.0,0,0.0,4.16e-6,0,0,true,0,true,true
