file,nodes,edges,nonEdges,components,mincut,merges,k_decr,time,recursionDepth,functionCalls,fullySolved,numberOfSetMerges,clusterGraphBefore,clusterGraphAfter
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_10.csv/1,100,468,4482,1,138.0,0,0.0,0.020095037,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_487.dimacs/1,113,1896,4432,1,403.0,0,0.0,0.213244146,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_10.dimacs/1,100,468,4482,1,138.0,0,0.0,0.03920013,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_2.csv/1,100,2366,2584,1,530.0,0,0.0,0.501155657,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_489.csv/1,206,6602,14513,1,159.0,0,0.0,0.676330948,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_489.csv/2,2,1,0,1,1000.0,0,0.0,1.0165e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_489.csv/3,2,1,0,1,1000.0,0,0.0,9.149e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_489.csv/4,1,0,0,1,0.0,0,0.0,7.628e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_2.dimacs/1,100,2366,2584,1,530.0,0,0.0,0.567773873,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_20.csv/1,97,290,4366,1,35.0,0,0.0,0.027313067,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_20.csv/2,2,1,0,1,150.0,0,0.0,1.7652e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_20.csv/3,1,0,0,1,0.0,0,0.0,1.4241e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_20.dimacs/1,97,290,4366,1,35.0,0,0.0,0.020755994,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_20.dimacs/2,2,1,0,1,150.0,0,0.0,1.0232e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_20.dimacs/3,1,0,0,1,0.0,0,0.0,3.0437e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_489.dimacs/1,206,6602,14513,1,159.0,0,0.0,0.603670303,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_489.dimacs/2,2,1,0,1,1000.0,0,0.0,2.25e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_489.dimacs/3,2,1,0,1,1000.0,0,0.0,3.4088e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/jena/instance_nr_489.dimacs/4,1,0,0,1,0.0,0,0.0,1.8648e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_3.csv/1,100,1239,3711,1,243.0,0,0.0,0.21755934,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_3.dimacs/1,100,1239,3711,1,243.0,0,0.0,0.145009398,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_5.csv/1,100,677,4273,1,53.0,0,0.0,0.059784588,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_5.dimacs/1,100,677,4273,1,53.0,0,0.0,0.061661415,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_8.csv/1,99,577,4274,1,84.0,0,0.0,0.055320983,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_8.csv/2,1,0,0,1,0.0,0,0.0,8.912e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_8.dimacs/1,99,577,4274,1,84.0,0,0.0,0.055210283,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_100_8.dimacs/2,1,0,0,1,0.0,0,0.0,9.233e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.csv/1,1,0,0,1,0.0,0,0.0,1.9436e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.csv/2,3,2,1,1,61.0,0,0.0,0.000334143,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.csv/3,1,0,0,1,0.0,0,0.0,1.4736e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.csv/4,2,1,0,1,144.0,0,0.0,1.1094e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.csv/5,1,0,0,1,0.0,0,0.0,1.0494e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.csv/6,1,0,0,1,0.0,0,0.0,1.7852e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.csv/7,1,0,0,1,0.0,0,0.0,2.7743e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.dimacs/1,1,0,0,1,0.0,0,0.0,1.3445e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.dimacs/2,3,2,1,1,61.0,0,0.0,0.000215214,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.dimacs/3,1,0,0,1,0.0,0,0.0,2.2665e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.dimacs/4,2,1,0,1,144.0,0,0.0,1.7519e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.dimacs/5,1,0,0,1,0.0,0,0.0,2.089e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.dimacs/6,1,0,0,1,0.0,0,0.0,2.0807e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_10.dimacs/7,1,0,0,1,0.0,0,0.0,2.1257e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_2.csv/1,3,3,0,1,1055.0,0,0.0,0.000251691,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_2.csv/2,1,0,0,1,0.0,0,0.0,1.567e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_2.csv/3,6,14,1,1,89.0,0,0.0,0.000425962,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_2.dimacs/1,3,3,0,1,1055.0,0,0.0,0.000227804,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_2.dimacs/2,1,0,0,1,0.0,0,0.0,1.862e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_2.dimacs/3,6,14,1,1,89.0,0,0.0,0.000598443,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_3.csv/1,4,3,3,1,16.0,0,0.0,0.000226777,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_3.csv/2,4,5,1,1,417.0,0,0.0,0.000180819,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_3.csv/3,2,1,0,1,714.0,0,0.0,4.681e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_3.dimacs/1,4,3,3,1,16.0,0,0.0,0.000210731,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_3.dimacs/2,4,5,1,1,417.0,0,0.0,0.000175034,0,0,true,0,false,false
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_3.dimacs/3,2,1,0,1,714.0,0,0.0,8.121e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.csv/1,2,1,0,1,265.0,0,0.0,2.2857e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.csv/2,1,0,0,1,0.0,0,0.0,3.1372e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.csv/3,2,1,0,1,588.0,0,0.0,1.9981e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.csv/4,1,0,0,1,0.0,0,0.0,1.7057e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.csv/5,1,0,0,1,0.0,0,0.0,2.8372e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.csv/6,1,0,0,1,0.0,0,0.0,3.4987e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.csv/7,2,1,0,1,289.0,0,0.0,2.2492e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.dimacs/1,2,1,0,1,265.0,0,0.0,2.102e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.dimacs/2,1,0,0,1,0.0,0,0.0,7.351e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.dimacs/3,2,1,0,1,588.0,0,0.0,6.852e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.dimacs/4,1,0,0,1,0.0,0,0.0,6.775e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.dimacs/5,1,0,0,1,0.0,0,0.0,8.795e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.dimacs/6,1,0,0,1,0.0,0,0.0,1.0663e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_5.dimacs/7,2,1,0,1,289.0,0,0.0,8.6e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.csv/1,2,1,0,1,75.0,0,0.0,1.2381e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.csv/2,1,0,0,1,0.0,0,0.0,2.42e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.csv/3,2,1,0,1,18.0,0,0.0,2.4538e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.csv/4,2,1,0,1,484.0,0,0.0,2.5165e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.csv/5,1,0,0,1,0.0,0,0.0,9.456e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.csv/6,1,0,0,1,0.0,0,0.0,5.95e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.csv/7,1,0,0,1,0.0,0,0.0,6.062e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.dimacs/1,2,1,0,1,75.0,0,0.0,8.551e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.dimacs/2,1,0,0,1,0.0,0,0.0,1.495e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.dimacs/3,2,1,0,1,18.0,0,0.0,8.266e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.dimacs/4,2,1,0,1,484.0,0,0.0,1.4011e-5,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.dimacs/5,1,0,0,1,0.0,0,0.0,6.089e-6,0,0,true,0,true,true
/home/hjal/Desktop/Uni/Cluster-Editing-PACE-2021-instances/data/weighted/action_seq/pace_actionseq_10_8.dimacs/6,1,0,0,1,0.0,0,0.0,6.301e-6,0,0,true,0,true,true
